/usr/bin/python3.6 /home/kun/Softwares/pycharm-2018.1.1/helpers/pydev/pydev_run_in_console.py 40795 44203 /home/kun/PycharmProjects/OneClassClassification_20181010/OCSVM_Sklearn/main_ocsvm_case5_train_test_only_normal_data.py -i "{'normal_files': ['../Data/file1_70M_1.txt'], 'attack_files': ['../Data/file2_70M_1.txt']}"
Running /home/kun/PycharmProjects/OneClassClassification_20181010/OCSVM_Sklearn/main_ocsvm_case5_train_test_only_normal_data.py
import sys; print('Python %s on %s' % (sys.version, sys.platform))
sys.path.extend(['/home/kun/PycharmProjects/OneClassClassification_20181010', '/home/kun/PycharmProjects/OneClassClassification_20181010/OCSVM_Sklearn'])
['/home/kun/PycharmProjects/OneClassClassification_20181010/OCSVM_Sklearn', '/home/kun/Softwares/pycharm-2018.1.1/helpers/pydev', '/home/kun/PycharmProjects/OneClassClassification_20181010', '/home/kun/Softwares/pycharm-2018.1.1/helpers/pydev', '/usr/lib/python36.zip', '/usr/lib/python3.6', '/usr/lib/python3.6/lib-dynload', '/home/kun/.local/lib/python3.6/site-packages', '/usr/local/lib/python3.6/dist-packages', '/usr/lib/python3/dist-packages', '/home/kun/Softwares/pycharm-2018.1.1/helpers/pycharm_matplotlib_backend', '/home/kun/PycharmProjects/OneClassClassification_20181010']
args:{'input_files_dict': "{'normal_files': ['../Data/file1_70M_1.txt'], 'attack_files': ['../Data/file2_70M_1.txt']}", 'kernel': 'rbf', 'out_dir': '../log'}
It starts at  2018-11-08 11:27:32
file_list: ['../Data/file1_70M_1.txt']
input_file: ../Data/file1_70M_1.txt
ts, sip, dip, sport, dport, proto, dura, orig_pks, reply_pks, orig_bytes, reply_bytes, orig_min_pkt_size, orig_max_pkt_size, reply_min_pkt_size, reply_max_pkt_size, orig_min_interval, orig_max_interval, reply_min_interval, reply_max_interval, orig_min_ttl, orig_max_ttl, reply_min_ttl, reply_max_ttl, urg, ack, psh, rst, syn, fin, is_new, state, prev_state
i = 18736, x=17,16,1,0,258,0,258,258,0,0,0,0,0,0,61,61,0,0,0,0,0,0,0,0,1,8,7
i = 18743, x=17,16,1,0,120,0,120,120,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,1,8,7
i = 18757, x=17,16,1,0,256,0,256,256,0,0,0,0,0,0,247,247,0,0,0,0,0,0,0,0,1,8,7
i = 18767, x=17,16,1,0,120,0,120,120,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,1,8,7
i = 18806, x=17,16,1,0,74,0,74,74,0,0,0,0,0,0,57,57,0,0,0,0,0,0,0,0,1,8,7
i = 18821, x=17,16,1,0,72,0,72,72,0,0,0,0,0,0,249,249,0,0,0,0,0,0,0,0,1,8,7
i = 18873, x=17,16,1,0,382,0,382,382,0,0,0,0,0,0,247,247,0,0,0,0,0,0,0,0,1,8,7
i = 18881, x=17,16,1,0,48,0,48,48,0,0,0,0,0,0,119,119,0,0,0,0,0,0,0,0,1,8,7
i = 18891, x=17,16,1,0,57,0,57,57,0,0,0,0,0,0,244,244,0,0,0,0,0,0,0,0,1,8,7
i = 18914, x=17,16,1,0,57,0,57,57,0,0,0,0,0,0,244,244,0,0,0,0,0,0,0,0,1,8,7
i = 18920, x=17,16,1,0,57,0,57,57,0,0,0,0,0,0,243,243,0,0,0,0,0,0,0,0,1,8,7
i = 18927, x=17,16,1,0,132,0,132,132,0,0,0,0,0,0,51,51,0,0,0,0,0,0,0,0,1,8,7
i = 18940, x=17,16,1,0,329,0,329,329,0,0,0,0,0,0,59,59,0,0,0,0,0,0,0,0,1,8,7
i = 18943, x=17,16,1,0,294,0,294,294,0,0,0,0,0,0,49,49,0,0,0,0,0,0,0,0,1,8,7
i = 18951, x=17,16,1,0,73,0,73,73,0,0,0,0,0,0,53,53,0,0,0,0,0,0,0,0,1,8,7
i = 18969, x=17,16,1,1,82,82,82,82,82,82,0,0,0,0,60,60,55,55,0,0,0,0,0,0,1,8,7
i = 18973, x=17,16,1,1,70,154,70,70,154,154,0,0,0,0,249,249,54,54,0,0,0,0,0,0,1,8,7
i = 18984, x=17,16,1,0,120,0,120,120,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,1,8,7
i = 18999, x=17,16,1168,0,1596163,0,86,1378,0,0,1,36427,0,0,59,59,0,0,0,0,0,0,0,0,1,8,7
i = 19007, x=17,16,1,0,444,0,444,444,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,1,8,7
i = 19043, x=17,16,1,0,579,0,579,579,0,0,0,0,0,0,53,53,0,0,0,0,0,0,0,0,1,8,7
i = 19046, x=17,16,11,0,1295,0,92,173,0,0,1106,13002,0,0,118,118,0,0,0,0,0,0,0,0,1,8,7
i = 19105, x=17,16,1,0,85,0,85,85,0,0,0,0,0,0,61,61,0,0,0,0,0,0,0,0,1,8,7
i = 19144, x=17,16,1,0,29,0,29,29,0,0,0,0,0,0,119,119,0,0,0,0,0,0,0,0,1,8,7
i = 19147, x=17,16,1,1,75,230,75,75,230,230,0,0,0,0,175,175,59,59,0,0,0,0,0,0,1,8,7
i = 19153, x=17,16,15,0,3248,0,96,448,0,0,1,30098,0,0,55,55,0,0,0,0,0,0,0,0,1,8,7
