ts, sip, dip, sport, dport, proto, dura, orig_pks, reply_pks, orig_bytes, reply_bytes, orig_min_pkt_size, orig_max_pkt_size, reply_min_pkt_size, reply_max_pkt_size, orig_min_interval, orig_max_interval, reply_min_interval, reply_max_interval, orig_min_ttl, orig_max_ttl, reply_min_ttl, reply_max_ttl, urg, ack, psh, rst, syn, fin, is_new, state, prev_state
626199, 1.1.1.73, 1.1.129.210, 9115,20480, 6,2, 12,7,1184,7604, 52,328,52,1500, 1,148,1,74, 32,32,32,32, 0,17,2,0,2,2, 1,6,4
626199, 1.1.131.227, 1.1.0.126, 20480,40847, 6,3, 9,2,4820,104, 52,1500,52,52, 9,132,0,0, 32,32,32,32, 0,11,0,0,2,2, 1,6,4
626199, 1.1.3.96, 1.1.130.1, 10962,20480, 6,2, 7,7,368,5474, 52,56,52,1500, 3,191,3,125, 32,32,32,32, 0,13,2,0,1,2, 1,6,4
626199, 1.1.3.121, 1.1.128.25, 14964,20480, 6,4, 12,7,1586,7604, 52,331,52,1500, 2,169,9,86, 32,32,32,32, 0,17,6,0,2,2, 1,6,4
626199, 1.1.1.227, 1.1.131.72, 55315,20480, 6,6, 14,11,1690,10659, 52,331,52,1500, 1,143,9,126, 32,32,32,32, 0,23,7,0,4,4, 1,6,4
626199, 1.1.3.39, 1.1.130.87, 47965,20480, 6,3, 6,9,878,8360, 52,331,52,1500, 2,34,3,72, 32,32,32,32, 0,13,9,0,2,2, 1,6,4
626199, 1.1.0.179, 1.1.130.187, 40735,20480, 6,4, 4,12,216,11029, 52,56,52,1500, 1,26,4,61, 32,32,32,32, 0,14,5,0,2,2, 1,6,4
626199, 1.1.2.169, 1.1.131.131, 45906,20480, 6,5, 11,7,859,7604, 52,331,52,1500, 1,131,3,62, 32,32,32,32, 0,16,2,0,2,4, 1,6,4
626209, 1.1.3.216, 1.1.129.115, 8507,20480, 6,16, 226848,255750,45369600,13299000, 200,200,52,52, 1,42760,1,42932, 32,32,32,32, 0,482598,226848,0,0,0, 1,3,3
626209, 1.1.131.206, 1.1.3.181, 20480,51294, 6,2, 8,8,6102,416, 52,1500,52,52, 8,185,1,68, 32,32,32,32, 0,16,2,0,2,2, 1,6,4
626209, 1.1.130.252, 1.1.3.57, 20480,14128, 6,15, 11,6,8203,708, 52,1500,52,250, 1,106,1,86, 32,32,32,32, 0,17,5,0,2,0, 1,3,3
626209, 1.1.130.113, 1.1.0.37, 20480,53364, 6,3, 11,8,8574,808, 52,1500,52,248, 6,103,1,157, 32,32,32,32, 0,19,6,0,0,4, 1,6,4
626209, 1.1.0.106, 1.1.131.213, 32800,20480, 6,16, 214296,239579,42859200,12458108, 200,200,52,52, 1,49934,1,49414, 32,32,32,32, 0,453875,214296,0,0,0, 1,3,3
626209, 1.1.2.131, 1.1.131.18, 28650,20480, 6,16, 183536,196260,36707200,10205520, 200,200,52,52, 1,56184,1,56581, 32,32,32,32, 0,379796,183536,0,0,0, 1,3,3
626209, 1.1.2.104, 1.1.130.171, 40425,20480, 6,11, 140597,147001,28119400,7644052, 200,200,52,52, 1,49446,1,49806, 32,32,32,32, 0,287598,140597,0,0,0, 1,3,3
626209, 1.1.129.142, 1.1.1.189, 20480,52427, 6,11, 136574,120693,7101856,24138600, 52,56,200,200, 1,43714,1,44368, 32,32,32,32, 0,257267,120693,0,2,0, 1,3,3
626209, 1.1.3.12, 1.1.130.142, 56313,20480, 6,16, 239150,238686,47830000,12411672, 200,200,52,52, 1,50306,1,50569, 32,32,32,32, 0,477836,239150,0,0,0, 1,3,3
626209, 1.1.0.167, 1.1.128.23, 27999,20480, 6,5, 2,9,500,7708, 250,250,52,1500, 2,2,9,62, 32,32,32,32, 0,11,5,0,0,2, 1,6,4
