 30908,20480, 6,2, 56,788,23900,1149046, 52,1500,52,1500, 1,1121,1,91, 32,32,32,32, 0,842,408,0,4,4, 1,6,4,0
 50802,20480, 6,5, 32,52,11950,61030, 52,1500,52,1500, 1,198,1,139, 32,32,32,32, 0,82,36,0,4,4, 1,6,4,0
 31542,20480, 6,6, 20,80,1904,107354, 52,279,52,1500, 2,395,2,93, 32,32,32,32, 0,98,42,0,4,4, 1,6,4,0
 9098,57626, 6,4, 350,184,21730,178434, 52,329,52,1065, 1,553,1,595, 32,32,32,32, 0,532,344,0,4,4, 1,6,4,0
 52554,57626, 6,4, 350,184,21730,178434, 52,329,52,1065, 1,371,1,402, 32,32,32,32, 0,532,344,0,4,4, 1,6,4,0
 46599,57626, 6,4, 350,184,21730,178434, 52,329,52,1065, 1,408,3,440, 32,32,32,32, 0,532,344,0,4,4, 1,6,4,0
 41979,20480, 6,2, 20,80,1904,107354, 52,279,52,1500, 1,395,2,89, 32,32,32,32, 0,98,42,0,4,4, 1,6,4,0
 39472,20480, 6,4, 10,8,1152,720, 52,364,52,200, 1,41,1,62, 32,32,32,32, 0,16,4,0,4,4, 1,6,4,0
 60812,57626, 6,4, 354,186,21972,180564, 52,329,52,1065, 1,569,1,600, 32,32,32,32, 0,538,348,0,4,4, 1,6,4,0
 46286,47873, 6,5, 28,18,9732,1230, 52,1500,52,124, 1,15,1,37, 32,32,32,32, 0,44,30,0,4,4, 1,6,4,0
 37691,47873, 6,6, 28,18,9732,1230, 52,1500,52,124, 1,15,1,40, 32,32,32,32, 0,44,30,0,4,4, 1,6,4,0
 31719,6400, 6,7, 440,34,624666,2962, 52,1500,52,339, 1,47,1,1117, 32,32,32,32, 0,472,236,0,4,4, 1,6,4,0
 31869,20480, 6,5, 20,80,1904,107354, 52,279,52,1500, 1,394,2,92, 32,32,32,32, 0,98,42,0,4,4, 1,6,4,0
 52293,57626, 6,4, 350,184,21730,178434, 52,329,52,1065, 1,370,1,403, 32,32,32,32, 0,532,344,0,4,4, 1,6,4,0
 48132,47873, 6,2, 28,18,9732,1230, 52,1500,52,124, 1,15,1,40, 32,32,32,32, 0,44,30,0,4,4, 1,6,4,0
 32066,20480, 6,2, 18,10,6898,3422, 52,1500,52,778, 1,12,2,36, 32,32,32,32, 0,26,8,0,4,4, 1,6,4,0
 24516,20480, 6,5, 18,10,6898,3422, 52,1500,52,778, 1,14,1,37, 32,32,32,32, 0,26,8,0,4,4, 1,6,4,0
 31804,20480, 6,2, 32,52,11950,61030, 52,1500,52,1500, 1,198,1,139, 32,32,32,32, 0,82,36,0,4,4, 1,6,4,0
 35192,6400, 6,3, 440,34,624666,2962, 52,1500,52,339, 1,51,1,1117, 32,32,32,32, 0,472,236,0,4,4, 1,6,4,0
 51100,20480, 6,6, 18,10,6898,3422, 52,1500,52,778, 1,15,1,39, 32,32,32,32, 0,26,8,0,4,4, 1,6,4,0
 57915,57626, 6,4, 354,186,21972,180564, 52,329,52,1065, 1,504,1,535, 32,32,32,32, 0,538,348,0,4,4, 1,6,4,0
 11671,20480, 6,6, 32,52,11950,61030, 52,1500,52,1500, 1,200,1,141, 32,32,32,32, 0,82,36,0,4,4, 1,6,4,0
 29239,13568, 17,10, 2,2,118,150, 59,59,75,75, 0,0,0,0, 32,32,32,32, 0,0,0,0,0,0, 1,8,7,0
 6746,20480, 6,8, 1038,204,1500544,253854, 52,1500,52,1500, 1,771,2,1119, 32,32,32,32, 0,1240,604,0,4,4, 1,6,4,0
 20948,47873, 6,4, 38,718,3888,1039098, 52,557,52,1500, 1,1119,1,57, 32,32,32,32, 0,754,372,0,4,4, 1,6,4,0
 54055,47873, 6,9, 28,18,9732,1230, 52,1500,52,124, 1,15,1,39, 32,32,32,32, 0,44,30,0,4,4, 1,6,4,0
